city,density,pop
Белгород,2557.5,356402
Валуйки,1019.97,35322
Новый Оскол,797.97,19530
Грайворон,640.4,6234
Старый Оскол,1112.35,221085
Шебекино,1035.73,44279
Короча,1177.6,5877
Липецк,1543.95,508887
Грязи,1408.85,46807
Елец,1476.57,108404
Тамбов,3040.6,280161
Моршанск,2102.75,41556
Рассказово,1199.61,45484
Кирсанов,1505.41,17224
Уварово,1042.91,26830
Мичуринск,1196.54,98758
Ливны,1471.06,50343
Мценск,1813.7,43222
Болхов,940.42,11421
Новосиль,617.7,3658
Курск,2352.47,415159
Рыльск,959.94,15671
Льгов,501.98,21453
Суджа,1353.3,6036
Обоянь,1117.75,13565
Щигры,728.19,17040
Воронеж,1767.84,889680
Богучар,866.92,11811
Семилуки,1909.43,26023
Россошь,1063.78,62865
Нововоронеж,682.92,32635
Борисоглебск,1260.51,65585
Поворино,945.83,17692
Бутурлиновка,644.72,27208
Лиски,829.18,55864
Острогожск,1481.86,33842
Екатеринбург,3138.53,1383179
Арамиль,694.87,14224
Верхняя Пышма,169.3,93280
Среднеуральск,278.68,20449
Алапаевск,1501.04,44455
Артемовский,654.85,33213
Реж,1125.82,38215
Верхняя Тура,602.6,9461
Каменск-Уральский,1172.94,176572
Первоуральск,1873.56,148875
Дегтярск,849.53,15522
Верхний Тагил,744.73,11843
Кировград,1971.2,41296
Нижний Тагил,1189.87,361811
Ирбит,580.41,38357
Туринск,618.43,17925
Ивдель,321.8,28690
Карпинск,320.13,42120
Краснотурьинск,79.3,65062
Челябинск,2268.62,1130132
Копейск,623.43,139756
Аша,571.49,31881
Катав-Ивановск,651.34,17784
Усть-Катав,820.98,26917
Трехгорный,199.12,33670
Магнитогорск,1065.99,407775
Кыштым,820.67,41791
Карабаш,16.29,13424
Верхний Уфалей,428.91,35006
Южноуральск,341.87,38030
Еманжелинск,223.93,31136
Сатка,913.72,46805
Бакал,391.8,20940
Миасс,1357.07,166452
Уфа,1582.85,1071640
Благовещенск,701.29,219847
Учалы,673.48,37788
Стерлитамак,2582.32,273486
Белебей,1725.72,60188
Бирск,599.28,43572
Нефтекамск,861.15,133535
Янаул,990.27,26924
Туймазы,1590.93,66836
Салават,1441.16,156095
