013859201,Белгородская область,Белгород,улица Князя Трубецкого,24,50.592681,36.596197
0138592010,Белгородская область,Белгород,улица Некрасова,5,50.61456,36.582947
01385920100,Белгородская область,Алексеевка,переулок 1-й К. Маркса,2,50.629458,38.691257
01385920109,Белгородская область,Алексеевка,улица Комсомольская,46А,51.981829,70.963126
0138592012,Белгородская область,Белгород,улица Железнякова,18-А,50.63252,36.576209
01385920127,Белгородская область,Бирюч,улица Карла Маркса,4,50.650246,38.402359
0138592014,Белгородская область,Белгород,проспект Б.Хмельницкого,160,50.63869,36.571754
01385920141,Белгородская область,Алексеевка,улица Ст. Разина,56,50.629069,38.699719
0138592016,Белгородская область,Белгород,улица Генерала Апанасенко,97,50.583708,36.566373
0138592017,Белгородская область,Белгород,улица Буденого,2-А,50.564951,36.560327
0138592018,Белгородская область,Белгород,бульвар Юности,10,50.561798,36.565169
0138592019,Белгородская область,Белгород,улица Дегтярева,5,50.58456,36.57046
013859202,Белгородская область,Белгород,улица Преображенская,69,50.599234,36.583261
0138592020,Белгородская область,Белгород,улица Костюкова,63,50.577491,36.590358
01385920200,Белгородская область,Валуйки,улица М.Горького,31А,50.215304,38.092089
01385920201,Белгородская область,Валуйки,улица 1 Мая,30-А,50.213367,38.101144
01385920205,Белгородская область,Валуйки,улица Курячего,22,50.172739,38.12583
0138592022,Белгородская область,Белгород,улица Макаренко,1,50.583216,36.659959
013859203,Белгородская область,Белгород,проспект Белгородский,54,50.602012,36.595918
01385920300,Белгородская область,Губкин,улица Севастопольская,2Б,51.282529,37.522809
01385920308,Белгородская область,Губкин,улица Народная,15-А,51.300829,37.598735
01385920315,Белгородская область,Губкин,улица Дзержинского,80,51.285317,37.525495
01385920317,Белгородская область,Губкин,улица Королева,14А,51.274523,37.509828
01385920319,Белгородская область,Губкин,улица Мира,20,51.283402,37.533813
013859204,Белгородская область,Белгород,улица Победы,124,50.595306,36.574745
01385920400,Белгородская область,Новый Оскол,площадь Центральная,5,50.763818,37.86319
01385920406,Белгородская область,Новый Оскол,улица Дорожная,3-А,50.775006,37.861501
0138592047,Белгородская область,Белгород,бульвар Народный,89,50.600697,36.583674
0138592051,Белгородская область,Белгород,бульвар Юности,21-А,50.559366,36.558854
01385920513,Белгородская область,Грайворон,улица Ленина,14А,50.488481,35.661805
0138592052,Белгородская область,Белгород,улица Королева,2-Г,50.572199,36.575221
0138592053,Белгородская область,Белгород,улица Губкина,17-А,50.566129,36.574125
0138592056,Белгородская область,Строитель,улица Ленина,21,50.782837,36.495972
0138592057,Белгородская область,Строитель,переулок Октябрьский,1,50.786744,36.477943
013859206,Белгородская область,Белгород,улица Мичурина,31,50.612536,36.588965
01385920600,Белгородская область,Старый Оскол,улица Ленина,49/44,51.298638,37.833357
013859206001,Белгородская область,Валуйки,ул. М.Горького,,0.0,0.0
013859206002,Белгородская область,Белгород,проспект Гражданский,,50.59566,36.587223
01385920615,Белгородская область,Старый Оскол,улица Хмелева,5,51.322341,37.818283
